VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB9M,Whatcom,Ferndale,WA,98248.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42.0,240314980,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010506.0
5YJSA1E29H,King,Woodinville,WA,98072.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,45.0,194180507,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032311.0
5YJ3E1EB8L,Pierce,Gig Harbor,WA,98332.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,26.0,6247811,POINT (-122.589645 47.342345),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072509.0
KNDCS3LF4P,Whatcom,Bellingham,WA,98226.0,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,42.0,228029868,POINT (-122.45493 48.76809),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000101.0
7SAYGDEE2P,King,Seattle,WA,98103.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,228622201,POINT (-122.34301 47.659185),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001701.0
JTMAB3FVXM,Monterey,Monterey,CA,93940.0,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,,172601019,POINT (-121.896255 36.59749),NON WASHINGTON STATE ELECTRIC UTILITY,6053013100.0
5YJ3E1EB5M,Snohomish,Woodinville,WA,98072.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,166989203,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC,53061051926.0
5YJ3E1EB3M,King,Black Diamond,WA,98010.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,211943021,POINT (-122.00498 47.31187),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603.0
JN1AZ0CP3C,Benton,Richland,WA,99352.0,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,8.0,277099686,POINT (-119.2952071 46.272495),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),53005010817.0
1V2FMPE82P,King,Vashon,WA,98070.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34.0,233919206,POINT (-122.46049 47.44873),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027702.0
WBY1Z4C57F,King,Seattle,WA,98121.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,36.0,313346855,POINT (-122.344125 47.61546),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007201.0
3FA6P0SUXD,Kitsap,Port Orchard,WA,98366.0,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,26.0,189070087,POINT (-122.639265 47.5373),PUGET SOUND ENERGY INC,53035092500.0
1G1FX6S01K,Snohomish,Snohomish,WA,98290.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44.0,109795752,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052502.0
1G1RB6S58J,Jefferson,Nordland,WA,98358.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,24.0,476198054,POINT (-122.691675 48.05815),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950400.0
5YJXCBE27J,King,Sammamish,WA,98075.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,41.0,182441675,POINT (-122.03309 47.58153),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032207.0
5YJSA1E52N,Snohomish,Edmonds,WA,98020.0,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,193890882,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050502.0
JTDKN3DP4C,Pierce,Parkland,WA,98446.0,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,25.0,100670041,POINT (-122.377475 47.096645),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053071100.0
5YJ3E1EA1P,King,Redmond,WA,98053.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,235852984,POINT (-122.0370611 47.6887161),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
1N4AZ0CP1F,King,Sammamish,WA,98029.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,5.0,257614325,POINT (-121.999595 47.547635),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032223.0
JHMZC5F34J,Benton,West Richland,WA,99353.0,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,8.0,245222757,POINT (-119.3535873 46.2778489),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010707.0
5YJ3E1EB9M,King,Kent,WA,98030.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,33.0,166111837,POINT (-122.199755 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029505.0
5YJSA1CP4C,Snohomish,Stanwood,WA,98292.0,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,10.0,241679812,POINT (-122.3684051 48.2414921),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053201.0
1G1RA6S53H,King,Seattle,WA,98178.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,37.0,182728220,POINT (-122.234385 47.494545),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026101.0
7SAYGDEE0P,King,Redmond,WA,98053.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,239961942,POINT (-122.0370611 47.6887161),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
JTMAB3FV4M,Island,Clinton,WA,98236.0,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,10.0,181466680,POINT (-122.359364 47.9796552),PUGET SOUND ENERGY INC,53029972100.0
5YJ3E1EC1L,King,Covington,WA,98042.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,47.0,110434089,POINT (-122.111625 47.36078),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032005.0
7SAYGDEEXN,Benton,Kennewick,WA,99338.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,8.0,192604478,POINT (-119.1973001 46.1911488),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010815.0
1N4AZ0CP9D,Whatcom,Bellingham,WA,98226.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,42.0,181303377,POINT (-122.45493 48.76809),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000803.0
1C4JJXP62N,Spokane,Spokane,WA,99205.0,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,3.0,207247239,POINT (-117.42694 47.67946),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063000500.0
KNDCR3L18P,Lewis,Toledo,WA,98591.0,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20.0,228214794,POINT (-122.846675 46.44142),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,53041971700.0
5YJXCAE26J,Snohomish,Lynnwood,WA,98036.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1.0,239757577,POINT (-122.3164188 47.819664),PUGET SOUND ENERGY INC,53061051929.0
1N4AZ1CV4N,Pierce,Fircrest,WA,98466.0,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,28.0,198313433,POINT (-122.537565 47.231645),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072305.0
SALGS4RY2L,Spokane,Spokane,WA,99201.0,2020,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,3.0,252967389,POINT (-117.431895 47.667155),MODERN ELECTRIC WATER COMPANY,53063002300.0
JTDKARFP1H,King,North Bend,WA,98045.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,5.0,122085862,POINT (-121.7814012 47.4935316),CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032800.0
7SAYGAEEXP,Snohomish,Mukilteo,WA,98275.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,232818225,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061041901.0
5YJ3E1EB3K,Franklin,Pasco,WA,99301.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,9.0,141751144,POINT (-119.0982 46.232395),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,53021020504.0
5UXTA6C00N,Snohomish,Edmonds,WA,98026.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,21.0,192923965,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050300.0
7SAYGDEF3N,Snohomish,Lynnwood,WA,98087.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,186801828,POINT (-122.2551991 47.8650827),PUGET SOUND ENERGY INC,53061041703.0
5YJYGDEE9L,King,Seattle,WA,98118.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,37.0,112353748,POINT (-122.28339 47.549285),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010302.0
1C4JJXN62P,Spokane,Spokane,WA,99208.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,6.0,252118268,POINT (-117.40725 47.718625),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010701.0
7SAXCDE55N,King,Bellevue,WA,98005.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,218248229,POINT (-122.16085 47.624515),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023500.0
5YJ3E1EC1P,Island,Oak Harbor,WA,98277.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10.0,229515240,POINT (-122.67499 48.287295),PUGET SOUND ENERGY INC,53029970602.0
5YJ3E1EBXJ,Okanogan,Mazama,WA,98833.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,12.0,476089673,POINT (-120.405315 48.59203),"OKANOGAN COUNTY ELEC COOP, INC",53047970900.0
2C4RC1N77J,Pierce,Gig Harbor,WA,98332.0,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,26.0,297323659,POINT (-122.589645 47.342345),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072509.0
1N4AZ0CP7F,Kitsap,Port Orchard,WA,98367.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,26.0,206733971,POINT (-122.6851642 47.506453),PUGET SOUND ENERGY INC,53035092704.0
1C4JJXP62N,King,Woodinville,WA,98072.0,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,45.0,219290123,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032311.0
5YJ3E1EA8M,Mason,Belfair,WA,98528.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35.0,170362125,POINT (-122.8551647 47.4495785),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960301.0
WBY43AW00P,King,Issaquah,WA,98027.0,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,244577231,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025006.0
7SAYGDEE6N,Snohomish,Everett,WA,98203.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38.0,220402206,POINT (-122.213105 47.95479),PUGET SOUND ENERGY INC,53061041400.0
7SAYGAEEXN,Clark,Camas,WA,98607.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18.0,208452751,POINT (-122.405565 45.59009),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040604.0
7SAYGDEE0N,Clark,Camas,WA,98607.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18.0,202272017,POINT (-122.405565 45.59009),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040604.0
5YJ3E1EB4K,Snohomish,Edmonds,WA,98020.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21.0,112972919,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050300.0
5YJXCBE23K,King,Bellevue,WA,98027.0,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,41.0,259709327,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025008.0
1G1RD6E40B,Stevens,Chewelah,WA,99109.0,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,7.0,225957455,POINT (-117.722145 48.27719),AVISTA CORP,53065950800.0
3FA6P0SU0D,Snohomish,Snohomish,WA,98290.0,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,39.0,106531169,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052301.0
1G1FY6S04K,Whatcom,Bellingham,WA,98229.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,40.0,254028295,POINT (-122.4569227 48.7470973),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000902.0
5YJXCAE22K,Snohomish,Bothell,WA,98012.0,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,1.0,104948294,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061051921.0
2C4RC1N74J,Pierce,Spanaway,WA,98387.0,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,29.0,185052857,POINT (-122.435115 47.1045),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053071403.0
WP1AE2A22H,King,Bellevue,WA,98006.0,2017,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,41.0,170646591,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800.0
7SAYGDEE2P,King,Issaquah,WA,98029.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,245795483,POINT (-121.999595 47.547635),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032219.0
2C4RC1S70N,King,Kent,WA,98031.0,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,11.0,228876014,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029306.0
5YJ3E1EB9N,King,Black Diamond,WA,98010.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,217946683,POINT (-122.00498 47.31187),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603.0
5YJSA1E68N,Pierce,Roy,WA,98580.0,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2.0,187353239,POINT (-122.522985 46.9876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073001.0
1C4JJXP69P,Grant,Quincy,WA,98848.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,13.0,249731674,POINT (-119.8508676 47.2335835),PUD NO 2 OF GRANT COUNTY,53025010600.0
1FT6W1EV5N,Spokane,Spokane,WA,99223.0,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,6.0,220111860,POINT (-117.369705 47.62637),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063004800.0
7FCTGAAA5P,Snohomish,Everett,WA,98203.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38.0,241525070,POINT (-122.213105 47.95479),PUGET SOUND ENERGY INC,53061041304.0
5YJ3E1EB1J,King,Redmond,WA,98053.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45.0,451287574,POINT (-122.0370611 47.6887161),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
JA4J24A54J,Snohomish,Everett,WA,98203.0,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,38.0,139268328,POINT (-122.213105 47.95479),PUGET SOUND ENERGY INC,53061041304.0
7PDSGABA9P,Pierce,Lakebay,WA,98349.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26.0,245736291,POINT (-122.7658848 47.2739449),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072602.0
KNDCC3LG0N,Snohomish,Marysville,WA,98270.0,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38.0,194750160,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052810.0
7SAYGAEE8P,Pierce,Spanaway,WA,98387.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2.0,236075192,POINT (-122.435115 47.1045),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073133.0
KM8JFDA29P,Pierce,University Place,WA,98467.0,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,28.0,240537055,POINT (-122.5404512 47.2074166),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072312.0
5YJ3E1EA9K,Snohomish,Woodinville,WA,98072.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1.0,316166364,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC,53061051926.0
1V2CMPE83P,Snohomish,Edmonds,WA,98020.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,229947833,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050300.0
1N4CZ1CV6P,King,North Bend,WA,98045.0,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,219661921,POINT (-121.7814012 47.4935316),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032800.0
5YJ3E1EA0P,Pierce,Tacoma,WA,98418.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,27.0,245537722,POINT (-122.439165 47.22468),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053061900.0
1N4AZ0CP1D,Snohomish,Mukilteo,WA,98275.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,21.0,156383279,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061042001.0
5YJYGDEE8L,Snohomish,Monroe,WA,98272.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,39.0,132488996,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052203.0
YV4H60DZ3N,King,Bothell,WA,98011.0,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,1.0,207136163,POINT (-122.20578 47.762405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803.0
5YJYGDEEXM,Pierce,Gig Harbor,WA,98332.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26.0,168712155,POINT (-122.589645 47.342345),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072507.0
7SAYGDEE6P,King,Issaquah,WA,98029.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,233590080,POINT (-121.999595 47.547635),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032218.0
KM8K53AG2M,Mason,Union,WA,98592.0,2021,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35.0,213515354,POINT (-123.06842 47.33529),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,53045960500.0
7SAYGDEFXP,Shelby,Pelham,AL,35124.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,,249753458,POINT (-86.7921352 33.3376937),NON WASHINGTON STATE ELECTRIC UTILITY,1117030352.0
5YJ3E1EC0P,Snohomish,Marysville,WA,98270.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44.0,251488247,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052711.0
5YJ3E1EA1P,King,Seattle,WA,98106.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,34.0,220106680,POINT (-122.356145 47.52104),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900.0
7SAYGDEE6P,King,Seattle,WA,98121.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,251391542,POINT (-122.344125 47.61546),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202.0
1C4JJXR60N,Thurston,Olympia,WA,98512.0,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,35.0,207604169,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011821.0
5YJ3E1EB9N,Snohomish,Bothell,WA,98021.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,202181549,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051938.0
1N4CZ1CV8P,Grays Harbor,Elma,WA,98541.0,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,24.0,213420658,POINT (-123.410105 47.00679),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027000501.0
2C4RC1N76L,Spokane,Spokane,WA,99223.0,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,6.0,124669695,POINT (-117.369705 47.62637),MODERN ELECTRIC WATER COMPANY,53063004702.0
5YJ3E1EA2P,Snohomish,Monroe,WA,98272.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39.0,224368875,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052207.0
1N4BZ0CP4G,Jefferson,Port Townsend,WA,98368.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,24.0,7937877,POINT (-122.7644197 48.1195874),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950400.0
WMWXP3C0XM,Snohomish,Everett,WA,98208.0,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,0,44.0,132463194,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041601.0
5YJYGDEE1M,Snohomish,Lake Stevens,WA,98258.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39.0,181156181,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061053505.0
